date,ADS_Index
1962:09:02,0.291845
1962:09:03,0.302463
1962:09:04,0.311974
1962:09:05,0.32038
1962:09:06,0.327686
1962:09:07,0.333891
1962:09:08,0.339
1962:09:09,0.343012
1962:09:10,0.345929
1962:09:11,0.347753
1962:09:12,0.348484
1962:09:13,0.348121
1962:09:14,0.346665
1962:09:15,0.344115
1962:09:16,0.340471
1962:09:17,0.335732
1962:09:18,0.329895
1962:09:19,0.32296
1962:09:20,0.314924
1962:09:21,0.305785
1962:09:22,0.295539
1962:09:23,0.284185
1962:09:24,0.271718
1962:09:25,0.258135
1962:09:26,0.243432
1962:09:27,0.227603
1962:09:28,0.210645
1962:09:29,0.192553
1962:09:30,0.17332
1962:10:01,0.152941
1962:10:02,0.133337
1962:10:03,0.114503
1962:10:04,0.0964319
1962:10:05,0.0791188
1962:10:06,0.0625586
1962:10:07,0.0467461
1962:10:08,0.0316767
1962:10:09,0.0173457
1962:10:10,0.00374889
1962:10:11,-0.00911788
1962:10:12,-0.0212585
1962:10:13,-0.0326766
1962:10:14,-0.0433757
1962:10:15,-0.053359
1962:10:16,-0.0626294
1962:10:17,-0.0711899
1962:10:18,-0.0790429
1962:10:19,-0.0861909
1962:10:20,-0.0926359
1962:10:21,-0.0983801
1962:10:22,-0.103425
1962:10:23,-0.107772
1962:10:24,-0.111423
1962:10:25,-0.114379
1962:10:26,-0.11664
1962:10:27,-0.118207
1962:10:28,-0.119082
1962:10:29,-0.119263
1962:10:30,-0.118751
1962:10:31,-0.117546
1962:11:01,-0.115648
1962:11:02,-0.114157
1962:11:03,-0.113073
1962:11:04,-0.112394
1962:11:05,-0.112122
1962:11:06,-0.112255
1962:11:07,-0.112794
1962:11:08,-0.11374
1962:11:09,-0.115092
1962:11:10,-0.11685
1962:11:11,-0.119016
1962:11:12,-0.12159
1962:11:13,-0.124573
1962:11:14,-0.127965
1962:11:15,-0.131768
1962:11:16,-0.135983
1962:11:17,-0.140611
1962:11:18,-0.145654
1962:11:19,-0.151112
1962:11:20,-0.156988
1962:11:21,-0.163284
1962:11:22,-0.170001
1962:11:23,-0.177141
1962:11:24,-0.184707
1962:11:25,-0.1927
1962:11:26,-0.201124
1962:11:27,-0.209981
1962:11:28,-0.219273
1962:11:29,-0.229003
1962:11:30,-0.239175
1962:12:01,-0.24979
1962:12:02,-0.2593
1962:12:03,-0.267705
1962:12:04,-0.27501
1962:12:05,-0.281216
1962:12:06,-0.286325
1962:12:07,-0.290339
1962:12:08,-0.293258
1962:12:09,-0.295084
1962:12:10,-0.295817
1962:12:11,-0.295458
1962:12:12,-0.294006
1962:12:13,-0.291461
1962:12:14,-0.287822
1962:12:15,-0.283088
1962:12:16,-0.277258
1962:12:17,-0.27033
1962:12:18,-0.262301
1962:12:19,-0.25317
1962:12:20,-0.242933
1962:12:21,-0.231588
1962:12:22,-0.219131
1962:12:23,-0.205558
