date,GDP,GPDIC1,OUTNFB,OUTBS,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT
9/1/2004,0.009408878,0.015394469,0.010514315,0.011055235,0.00555303,0.008924038,0.005812742,0.02101912,0.004428501,0.013202072
12/1/2004,0.009966906,0.020649754,0.010192046,0.011236073,0.014131181,0.014115347,0.017732143,0.018056543,0.012136687,0.0219375
3/1/2005,0.011008815,0.027725266,0.013245522,0.012634926,0.014213586,0.012438647,0.012603445,0.017412937,0.015729222,0.017864852
6/1/2005,0.004604994,-0.013395502,0.003642268,0.003909029,0.00505351,0.012407532,-0.000290908,0.01685492,0.00944993,0.00268231
9/1/2005,0.008873849,0.013130246,0.010095615,0.010146932,-0.004595883,0.005009172,-0.015290676,0.017395942,0.003948559,0.007559052
12/1/2005,0.006294777,0.031990559,0.007389009,0.007316432,0.009659915,0.008516084,0.002644543,0.004553033,0.013699415,0.025721165
3/1/2006,0.013215165,0.014737546,0.01691808,0.01632462,0.009352951,0.015721012,0.017969602,0.01871145,0.001060183,0.012213266
6/1/2006,0.002334271,-0.006468881,0.001510381,0.002334714,0.005996722,-0.003039914,0.005737582,-0.005363152,0.010425437,0.002213073
9/1/2006,0.001545134,-0.003865588,0.002271908,0.001345289,0.003793541,0.000205293,0.005919411,-0.006426846,0.004527468,0.001530143
12/1/2006,0.008482573,-0.019591202,0.011785926,0.011294441,0.002200653,0.008169349,0.000568787,-0.007160112,0.00566054,-0.001868296
3/1/2007,0.002352163,-0.006904108,0.002961477,0.003135126,0.008777746,0.009036902,0.012555685,-0.00089332,0.00494251,0.017047427
6/1/2007,0.005712377,0.010969119,0.008169087,0.006966496,0.012203302,0.005170164,0.015418624,0.004685817,0.010518676,0.023847285
9/1/2007,0.005418009,-0.010144911,0.006363987,0.005837246,0.00275153,0.003979158,0.005925736,-0.005687488,0.003046759,0.007572254
12/1/2007,0.00606002,-0.012380378,0.005412552,0.005782886,0.003039842,0.0054248,0.009099693,-0.009533147,-0.002138144,0.012839291
3/1/2008,-0.005763576,-0.026662726,-0.011123814,-0.01026368,-0.003696464,-0.012062319,-0.002940224,-0.01545581,-0.002099121,0.001110281
6/1/2008,0.005150584,-0.018302522,0.004711823,0.004274746,-0.014849413,-0.007065573,-0.00895033,-0.008159616,-0.017298924,-0.013798889
